StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ

ORION
27919,27989,39801,2061,,58Alp Ori,Betelgeuse,5.91952477,07.40703634,131.061598951507,27.33,10.86,21,0.45,-5.1373773102256,M2Ib,1.500,2.738,129.93909,16.89611,-1.693e-05,2.0769e-05,9.611e-06
24378,24436,34085,1713,,19Bet Ori,Rigel,5.24229756,-08.20163919,236.96682464455,1.87,-0.56,21,0.18,-6.69343774519163,B8Ia,-0.030,46.22087,229.94374,-33.80503,2.065e-06,2.1174e-05,-3.7e-06
25273,25336,35468,1790,,24Gam Ori,Bellatrix,5.41885227,06.34973451,74.5156482861401,-8.75,-13.28,18,1.64,-2.72123742083513,B2III,-0.224,11.22414,73.20302,8.24121,5.977e-06,1.813e-05,-2.731e-06
25327,25390,243528,,Mintaka,,,5.43163513,21.78592612,617.283950617284,0.56,-3.15,,8.72,-0.232424927286843,K0,1.394,84.97574,566.8619,229.09861,-1.138e-06,3.708e-06,-8.752e-06
26246,26311,37128,1903,,46Eps Ori,Alnilam,5.60355904,-01.20191725,411.522633744856,1.49,-1.06,26,1.69,-6.38196863200844,B0Ia,-0.184,42.62509,409.21811,-8.63204,-2.06e-07,2.6705e-05,-2.671e-06
26662,26727,37742,1948,,50Zet Ori,Alnitak,5.67931244,-01.94257841,250.62656641604,3.99,2.54,18,1.74,-5.25513552156626,O9.5Ib SB,-0.199,21.00476,249.60027,-8.49571,-3.279e-06,1.8844e-05,2.46e-06
27298,27366,38771,2004,,53Kap Ori,Saiph,5.79594109,-09.66960186,221.238938053097,1.55,-1.20,21,2.07,-4.65430782594309,B0.5Iavar,-0.168,11.64567,217.78459,-37.1607,-5.41e-07,2.1014e-05,-4.876e-06


PEGASUS
113604,113963,218045,8781,,54Alp Peg,Markab,23.07933801,15.20536786,42.8082191780822,61.10,-42.56,-4,2.49,-0.66763580779819,B9.5III,-0.002,40.11544,-9.86067,11.22772,1.442e-06,1.2702e-05,-9.595e-06
113522,113881,217906,8775,,53Bet Peg,Scheat,23.06287038,28.08245462,61.0873549175321,187.76,137.61,9,2.44,-1.48975660294029,M2II-IIIvar,1.655,52.28169,-13.09049,28.75636,2.773e-06,5.6624e-05,4.0286e-05
1065,1067,886,39,,88Gam Peg,Algenib,0.22059721,15.18361593,102.145045965271,4.70,-8.24,4,2.83,-2.21608654098431,B2IV,-0.190,98.41495,5.69,26.75313,4.874e-06,2.612e-06,-2.866e-06
106973,107315,206778,8308,,8Eps Peg,Enif,21.73642787,09.87500791,206.185567010309,30.02,1.38,5,2.38,-4.19129130698868,K2Ibvar,1.520,168.495,-113.45281,35.36069,2.0741e-05,2.2207e-05,2.235e-06
1166,1168,1013,45,,89Chi Peg,,0.24336336,20.20669720,99.9000999000999,90.66,1.88,-46,4.79,-0.207829612603407,M2III,1.572,93.56129,5.96909,34.50628,-4.7169e-05,4.0985e-05,-1.5395e-05
107012,107354,206901,8315,,10Kap Peg,,21.7440845,25.64500284,35.2858151023289,46.66,13.47,-8,4.14,1.40199922955721,F5IV,0.425,26.42157,-17.71357,15.27148,-2.51e-06,1.1292e-05,-1.463e-06
108723,109068,209747,8413,,22Nu  Peg,,22.09463666,05.05828453,80.7754442649434,101.60,101.19,-16,4.86,0.323603223420497,K4III,1.443,70.6564,-38.49185,7.12189,1.65e-06,4.4405e-05,3.8026e-05
108831,109176,210027,8430,Gl 848,24Iot Peg,,22.11679848,25.34504610,11.7564072419469,296.73,26.93,-5.5,3.77,3.41862689189002,F5V,0.435,9.35946,-5.0286,5.03254,2.946e-06,1.7614e-05,-1.02e-06
109007,109352,210354,8449,,27Pi 1Peg,,22.15379878,33.17249760,86.8809730668983,-60.00,-65.86,-6,5.58,0.88537661814896,G6III:,0.985,64.39146,-33.79626,47.53792,-2.853e-06,-2.7042e-05,-2.6575e-05
109065,109410,210459,8454,,29Pi 2Peg,,22.16645906,33.17826747,77.1604938271605,-12.34,-17.94,2,4.28,-0.156974992327126,F5III,0.471,57.28257,-29.82337,42.22575,2.644e-06,-6.58e-06,-4.497e-06
109082,109427,210418,8450,Wo 9771,26The Peg,,22.16994993,06.19778900,29.6120817293456,281.96,31.23,-7.9,3.52,1.16265530317706,A2V,0.086,26.12438,-13.57096,3.19694,1.1101e-05,3.9844e-05,3.584e-06
111677,112029,214923,8634,,42Zet Peg,,22.69102078,10.83139111,63.9386189258312,77.38,-10.98,7,3.41,-0.618816256380853,B8.5V,-0.086,59.14798,-21.10201,12.01531,1.5284e-05,2.0012e-05,-1.997e-06
111699,112051,214994,8641,,43Omi Peg,,22.69594714,29.30768920,93.4579439252336,-2.03,-19.96,9,4.80,-0.0530811115739516,A1IV,-0.013,76.79228,-27.2853,45.74761,1.1426e-05,-5.035e-06,-3.379e-06
111805,112158,215182,8650,,44Eta Peg,,22.71670238,30.22130866,65.8761528326746,13.11,-26.11,4,2.93,-1.16364114220269,G2II-III..,0.852,53.74033,-18.7664,33.15819,8.679e-06,1.403e-06,-5.145e-06
112085,112440,215665,8667,NN 4295,47Lam Peg,,22.77551177,23.56567939,121.065375302663,56.99,-10.46,-4.3,3.97,-1.44509976339809,G8II-III,1.070,105.3156,-34.96714,48.40194,9.043e-06,3.2239e-05,-7.385e-06
112091,112447,215648,8665,Gl 872  A,46Xi  Peg,,22.77817819,12.17408381,16.249593760156,233.06,-492.04,-6,4.20,3.1457874595572,F7V,0.502,15.07844,-4.99469,3.42675,7.837e-06,1.6743e-05,-3.9182e-05
112390,112748,216131,8684,NN 4298,48Mu  Peg,,22.8333612,24.60168486,35.778175313059,144.11,-43.44,15.3,3.51,0.741909061112211,M2III,0.933,31.02483,-9.78184,14.89472,2.4076e-05,1.8616e-05,-3.36e-07
112576,112935,216385,8697,Wo 9801 A,49Sig Peg,,22.87326847,09.83555733,26.8456375838926,521.86,44.10,10.2,5.16,3.01563138542156,F7IV,0.487,25.3086,-7.68981,4.58579,2.864e-05,6.2278e-05,7.436e-06
112827,113186,216735,8717,,50Rho Peg,,22.9204512,08.81609536,86.5800865800866,81.88,29.03,-10,4.91,0.222909921140816,A1V,-0.003,82.16283,-23.85998,13.26956,-1.914e-06,3.6342e-05,1.0472e-05


ANDROMEDA
116219,116584,222107,8961,Wo 9832,16Lam And,,23.62602991,46.45917621,25.8131130614352,159.22,-421.46,6.8,3.81,1.75079808191546,G8III-IV,0.984,17.69675,-1.73816,18.7115,4.4762e-05,1.5623e-05,-3.1289e-05
116266,116631,222173,8965,,17Iot And,,23.63560531,43.26807610,154.083204930663,27.72,-1.21,-1,4.29,-1.64877651599815,B8V,-0.083,111.68626,-10.68712,105.61059,1.847e-06,2.0623e-05,-1.359e-06
116440,116805,222439,8976,,19Kap And,,23.67345605,44.33397776,52.0291363163372,81.33,-18.96,-9,4.15,0.568766916662633,B9IVn,-0.071,37.07941,-3.17762,36.36002,-1.478e-06,2.0715e-05,-9.853e-06
116855,117221,223047,9003,,20Psi And,,23.76723303,46.42029095,401.606425702811,9.05,-6.25,-25,4.97,-3.04900326452132,G5Ib,1.086,276.33874,-16.86047,290.93013,-7.721e-06,1.8123e-05,-2.691e-05
676,677,358,15,,21Alp And,Alpheratz,0.13976888,29.09082805,29.7619047619048,135.68,-162.95,-12,2.07,-0.29830361305078,B9p,-0.038,25.99003,0.95143,14.4701,-1e-08,1.9588e-05,-2.6511e-05
1363,1366,1280,63,,24The And,,0.28487101,38.68167915,77.639751552795,-50.01,-17.90,1,4.61,0.159579315118967,A2V,0.059,60.43946,4.51589,48.5243,6.397e-06,-1.8396e-05,-4.62e-06
1470,1473,1404,68,,25Sig And,,0.3054737,36.78532730,43.271311120727,-66.51,-42.48,-8,4.51,1.32899972739555,A2V,0.054,34.54457,2.76853,25.91166,-9.8e-08,-1.4004e-05,-1.2036e-05
1682,1686,1671,82,,27Rho And,,0.35200719,37.96869954,48.9715964740451,58.32,-39.65,9,5.16,1.71027868875446,F5III,0.442,38.44279,3.55276,30.12883,1.1718e-05,1.4987e-05,-1.757e-06
2906,2912,3369,154,,29Pi  And,,0.61467749,33.71935227,201.207243460765,15.23,-3.56,9,4.34,-2.17821805633334,B5V,-0.123,165.19521,26.81544,111.69525,7.079e-06,1.6198e-05,2.221e-06
3025,3031,3546,163,,30Eps And,,0.64263868,29.31236900,51.7063081695967,-229.41,-254.08,-84,4.34,0.772282348734914,G5III...,0.871,44.44943,7.54964,25.31389,-3.3483e-05,-6.4014e-05,-9.7591e-05
3086,3092,3627,165,,31Del And,,0.65544371,30.86122579,31.0655483069276,115.38,-83.05,-7,3.27,0.808604883428068,K3III...,1.268,26.2754,4.5535,15.93539,-2.7e-06,1.7166e-05,-1.4408e-05
3685,3693,4502,215,,34Zet And,,0.78899727,24.26737703,55.6173526140156,-101.23,-81.89,-24,4.08,0.35394843698605,K1II,1.100,49.62504,10.39881,22.85847,-7.421e-06,-2.9441e-05,-3.0216e-05
3871,3881,4727,226,,35Nu  And,,0.83023048,41.07895474,208.333333333333,22.68,-18.05,-24,4.53,-2.06379381312206,B5V SB,-0.136,153.34768,33.86569,136.8955,-1.1309e-05,2.0959e-05,-2.987e-05
4426,4436,5448,269,,37Mu  And,,0.94586046,38.49925513,41.7885499373172,152.78,36.82,8,3.86,0.754713493067187,A5V,0.130,31.70681,8.01593,26.01355,-5.879e-06,3.0437e-05,1.093e-05
4453,4463,5516,271,,38Eta And,,0.95345215,23.41775997,74.4047619047619,-43.72,-46.06,-10,4.40,0.0419963435890329,G8III-IV,0.940,66.16014,16.8662,29.57085,1.199e-06,-1.5968e-05,-1.9309e-05
5423,5434,6811,335,,42Phi And,,1.15836727,47.24182410,225.733634311512,3.81,-13.02,0,4.26,-2.50798136888465,B7III,0.012,146.25863,45.76602,165.73942,8.738e-06,7.103e-06,-9.672e-06
5436,5447,6860,337,Gl  53.3,43Bet And,Mirach,1.16216599,35.62083048,61.1246943765281,175.59,-112.23,-0.8,2.07,-1.86108350332348,M0IIIvar,1.576,47.40547,14.8855,35.60015,2.257e-06,5.5243e-05,-2.7509e-05
